,ins_true_x,ins_true_y,ins_x,ins_y
0,0,0,-0.609582315,-2.648730649
1,10,10,1.47138978,5.158688182
2,20,20,5.666420658,17.08570489
3,30,30,12.08411456,37.58168635
4,40,40,17.8223735,48.34158861
5,50,50,31.92791713,60.87296767
6,60,60,42.75960605,74.55222649
7,70,70,43.81058177,94.03831686
8,80,80,49.67105747,102.7843012
9,90,90,60.91985629,111.041489
10,100,100,58.64909398,118.8157229
11,110,110,65.57109907,137.7031438
12,120,120,79.92041871,155.0295424
13,130,130,85.79897297,164.9625926
14,140,140,97.58807134,170.6810115
15,150,150,108.8591688,175.2415128
16,160,160,123.0437743,184.0945048
17,170,170,128.3772099,206.6037051
18,180,180,144.6868937,212.9794299
19,190,190,158.8316897,219.693177
20,200,200,169.8522906,228.021445
21,210,210,181.6115319,241.4367715
22,220,220,195.1772442,250.5207675
23,230,230,209.8556648,259.714964
24,240,240,222.288164,276.8312075
25,250,250,240.1339591,293.2770016
26,260,260,254.4154348,309.1965634
27,270,270,277.7622527,312.3918801
28,280,280,286.8634789,320.3708713
29,290,290,291.2462201,333.8561459
30,300,300,305.2752112,338.6388232
31,310,310,308.191122,353.0125617
32,320,320,320.0733912,363.7190014
33,330,330,329.6113015,368.0178485
34,340,340,340.8272741,374.2975523
35,350,350,343.716257,373.6719055
36,360,360,360.7236889,379.2226676
37,370,370,368.6222375,386.6363219
38,380,380,377.1780873,391.7087282
39,390,390,384.0533018,402.681445
40,400,400,392.2590167,417.3480657
41,410,410,395.6242576,415.7730189
42,420,420,405.7743749,432.708574
43,430,430,414.0269132,444.3622917
44,440,440,428.6768229,459.7138632
45,450,450,438.1251979,466.1481649
46,460,460,444.7544602,476.1993258
47,470,470,451.3636684,485.4545893
48,480,480,464.1532719,498.2578447
49,490,490,476.2877279,513.7911764
50,500,500,491.5009967,524.1654549
51,510,510,498.0162603,534.0223949
52,520,520,510.4127559,548.8615417
53,530,530,517.0413757,561.7727946
54,540,540,526.7371181,573.9076286
55,550,550,548.4305502,598.5224062
56,560,560,562.7184212,601.0335884
57,570,570,584.5414359,608.4720309
58,580,580,595.2654241,611.3604593
59,590,590,596.3566883,626.8610901
60,600,600,603.6002931,638.2459442
61,610,610,608.6608572,639.2266266
62,620,620,617.0699543,649.092665
63,630,630,622.7497924,663.4466056
64,640,640,623.73101,675.7850698
65,650,650,636.4893203,685.2779886
66,660,660,648.155226,692.7171628
67,670,670,653.5256486,706.1782534
68,680,680,666.2840527,713.0487821
